LABNR,GR,C14AGE,C14STD,C13,COUNTRY,SITE,MAR,MATERIAL,SPECIES,PHASE,LOCUS,SAMPLE,CULTURE,PERIOD,calBC68,calBC95,REGION,LATITUDE,LONGITUDE,INCONGR,NOTICE,REFERENCE,ID
GrN-6434,---,"9755","85",0,Iran,Asiab,"-",charcoal,---,"1,65-1,70 m","1,65-1,70 m",---,PPN,ACN, 9130 +- 170,9470 - 8790,07.01 N-Zagros,34.3,47.19,---,---,"Howe 1983, Hole 1987, Voigt and Dyson 1992","324"
P-1501,---,"6309","78",0,Iran,Banahilk,"-",organic material,material from hearth,"sommet des niveaux Halaf (-1,30 m)","sommet des niveaux Halaf (-1,30 m)",---,Halaf Late / MCH,CH, 5280 +- 100,5480 - 5080,05.01 Mosul Arbil region,36.65,44.54,---,---,"Lawn 1973, Bernbeck 1994","462"
P-1502,---,"6752","85",0,Iran,Banahilk,"-",charcoal,---,"foyer du sol 6 (-2,20 m)","foyer du sol 6 (-2,20 m)",---,Halaf Middle / MCH,CH, 5660 +- 70,5800 - 5520,05.01 Mosul Arbil region,36.65,44.54,---,---,"Lawn 1973, Bernbeck 1994","463"
P-1504,---,"6854","72",0,Iran,Banahilk,"-",mollusc,Helix,"foyer du sol 6 (-2,20 m)","foyer du sol 6 (-2,20 m)",---,Halaf Middle / MCH,CH, 5760 +- 80,5920 - 5600,05.01 Mosul Arbil region,36.65,44.54,---,"Banadora: m�me emplacement que P-1502; Coquillage","Lawn 1973, Bernbeck 1994","464"
I-1492,---,"6200","140",0,Iran,Bog-i-No,"-",charcoal,---,---,---,---,Neo.,PN, 5140 +- 170,5480 - 4800,07.01 N-Zagros,33.47,48.35,---,Banadora: accompagne de ceramique compatible avec le debut de la phase de Sabz,Hole et al. 1969,"570"
UGa-291,---,"7730","110",0,Iran,Chagha Sefid,"-",n.d.,---,phase de Surkh,phase de Surkh,---,Neo.,PN, 6610 +- 120,6850 - 6370,05.03 Lower Mesopotamia,32.63,47.26,---,Banadora: date trop ancienne selon le fouilleur,"Hole 1977, Hole 1987","728"
UCLA-293,---,"8000","710",0,Iran,Chagha Sefid,"-",n.d.,---,phase Sefid,phase Sefid,---,PN,PN, 7080 +- 820,8720 - 5440,05.03 Lower Mesopotamia,32.63,47.26,---,Banadora: date attendue par le fouilleur,"Hole 1977, Hole 1987","721"
UCLA-297,---,"8040","90",0,Iran,Chagha Sefid,"-",n.d.,---,---,---,---,PN,PN, 6960 +- 160,7280 - 6640,05.03 Lower Mesopotamia,32.63,47.26,---,---,Hole 1987,"724"
UCLA-302,---,"8085","145",0,Iran,Chagha Sefid,"-",n.d.,---,phase Mohammad Jaffar,phase Mohammad Jaffar,---,PN,PN, 7040 +- 230,7500 - 6580,05.03 Lower Mesopotamia,32.63,47.26,---,Banadora: date attendue par le fouilleur,"Hole 1977, Hole 1987","726"
UCLA-294,---,"8760","150",0,Iran,Chagha Sefid,"-",n.d.,---,phase Ali Kosh,phase Ali Kosh,---,PPN,ACN, 7900 +- 230,8360 - 7440,05.03 Lower Mesopotamia,32.63,47.26,---,Banadora: date attendue par le fouilleur,"Hole 1977, Hole 1987","719"
