site_id,site_name,site_phase,context,lab_id,material,taxon,cra,error,d13C,source,additional_references,outlier,hygiene_c1,hygiene_c2,hygience_c3,hygiene_c4,hygiene_c5,hygiene_a1,hygiene_a2,hygiene_a3,hygiene_a4,hygiene_sum,remarks
TCEC107,Ganj Dareh,B,,OxA-2099,plant remains,Hordeum vulgare,8840,110,,Darabi2015-jm,Housley 1994,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,C/D,,OxA-2100,plant remains,Hordeum vulgare,9010,110,,Darabi2015-jm,Housley 1994,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,D,,OxA-2101,plant remains,Hordeum vulgare,8850,110,,Darabi2015-jm,Housley 1994,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,E,,OxA-2102,plant remains,Hordeum vulgare,8690,110,,Darabi2015-jm,Housley 1994,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,D,,P-1484,bone collagen,,8970,100,,Darabi2015-jm,Hesse 1978,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,D,,P-1485,bone collagen,,9239,196,,Darabi2015-jm,Lawn 1970,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,B,,P-1486,bone collagen,,8890,100,,Darabi2015-jm,Hesse 1978,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,C,,Poz-81100,bone collagen,Homo sapiens,8780,50,,,Meiklejohn et al. 2017,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,D,,Poz-81109,bone collagen,Homo sapiens,8800,50,,,Meiklejohn et al. 2017,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,D,,Poz-81114,bone collagen,Homo sapiens,8850,50,,,Meiklejohn et al. 2017,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,A,,SI-4732,unknown,,8590,70,,Darabi2015-jm,Hole 1987b,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,B,,SI-4733,unknown,,8525,70,,Darabi2015-jm,Hole 1987b,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,B,,SI-4734,unknown,,8110,70,,Darabi2015-jm,Hole 1987b,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,B,,SI-4735,unknown,,8460,70,,Darabi2015-jm,Hole 1987b,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,C,,SI-4736,unknown,,8450,70,,Darabi2015-jm,Hole 1987b,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,C,,SI-4737,unknown,,8650,70,,Darabi2015-jm,Hole 1987b,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,D,,SI-4738,unknown,,8485,70,,Darabi2015-jm,Hole 1987b,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,D,,SI-4739,unknown,,8140,70,,Darabi2015-jm,Hole 1987b,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,D,,SI-4740,unknown,,8535,70,,Darabi2015-jm,Hole 1987b,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,D,,SI-4741,unknown,,8950,70,,Darabi2015-jm,Hole 1987b,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,E,,SI-922,charcoal,,8570,310,,Darabi2015-jm,Hesse 1978,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,E,,SI-923,charcoal,,8630,200,,Darabi2015-jm,Hesse 1978,FALSE,,,,,,,,,,,
