site_id,site_name,site_phase,context,lab_id,material,taxon,c14_age,c14_error,d13C,source,additional_references,outlier,hygiene_c1,hygiene_c2,hygience_c3,hygiene_c4,hygiene_c5,hygiene_a1,hygiene_a2,hygiene_a3,hygiene_a4,hygiene_sum,remarks
231,Chogha Bonut,,nd,Beta-177132,bone,animal,8070,40,,NERD,Zeder 2008; Marshall 2012; CalPal; Flohr et al. 2016,FALSE,,,,,,,,,,,
231,Chogha Bonut,,nd,Beta-177133,bone,animal,8120,40,,NERD,Zeder 2008; Marshall 2012; CalPal; Flohr et al. 2016,FALSE,,,,,,,,,,,
231,Chogha Bonut,,nd,Beta-177134,bone,animal,8040,40,,NERD,Zeder 2008; Marshall 2012; CalPal; Flohr et al. 2016,FALSE,,,,,,,,,,,
54,Chogha Golan,I,,Beta-335608,charcoal,,9637,54,,Darabi2015-jm,Riehl et al. 2013,FALSE,,,,,,,,,,,
54,Chogha Golan,II,,Beta-335610,,Triticum,9831,82,,Darabi2015-jm,Riehl et al. 2013,FALSE,,,,,,,,,,,
54,Chogha Golan,,AH I,Beta-336508,charcoal,,8690,40,,NERD,Conard 2013; CalPal,FALSE,,,,,,,,,,,
54,Chogha Golan,,AH I,Beta-336509,charcoal,,8900,40,,NERD,CalPal,FALSE,,,,,,,,,,,
54,Chogha Golan,,AH II,Beta-336510,grain,Triticum,8800,40,,NERD,Conard 2013; CalPal,FALSE,,,,,,,,,,,
54,Chogha Golan,,AH II,Beta-336511,grain,Hordeum spontaneum,9110,40,,NERD,CalPal,FALSE,,,,,,,,,,,
54,Chogha Golan,III,,Erl-14838,,Hordeum,9788,84,,Darabi2015-jm,Riehl et al. 2012,FALSE,,,,,,,,,,,
54,Chogha Golan,IV,,Erl-14839,,Hordeum,10037,94,,Darabi2015-jm,Riehl et al. 2012,FALSE,,,,,,,,,,,
54,Chogha Golan,III,,Erl-14840,,Poaceae,9839,81,,Darabi2015-jm,Riehl et al. 2012,FALSE,,,,,,,,,,,
54,Chogha Golan,VIII,,KIA-43836,plant remains,Hordeum,10656,53,,Darabi2015-jm,Riehl et al. 2012,FALSE,,,,,,,,,,,
54,Chogha Golan,,AH II,KIA-44941,grain,Hordeum spontaneum,9518,44,,NERD,CalPal,FALSE,,,,,,,,,,,
54,Chogha Golan,,AH XI,KIA-44942,grain,Hordeum spontaneum,9385,37,,NERD,CalPal,FALSE,,,,,,,,,,,
54,Chogha Golan,,AH XI,KIA-44943,grain,Hordeum spontaneum,9790,120,,NERD,CalPal,FALSE,,,,,,,,,,,
54,Chogha Golan,XI,,KIA-44944,plant remains,Hordeum,11054,129,,Darabi2015-jm,Riehl et al. 2013,FALSE,,,,,,,,,,,
54,Chogha Golan,,geological horizon,KIA-44947,grain,Hordeum spontaneum,9330,35,,NERD,CalPal,FALSE,,,,,,,,,,,
54,Chogha Golan,XII,,KIA-45647,plant remains,Hordeum,11740,187,,Darabi2015-jm,Riehl et al. 2013,FALSE,,,,,,,,,,,
54,Chogha Golan,,AH XIa,KIA-45648,grain,Hordeum spontaneum,9320,120,,NERD,CalPal,FALSE,,,,,,,,,,,
54,Chogha Golan,,AH II,KIA-45649,grain,Aegilops,8965,35,,NERD,CalPal,FALSE,,,,,,,,,,,
54,Chogha Golan,,AH V,Ua-44323,grain,Hordeum spontaneum,8845,54,,NERD,CalPal,FALSE,,,,,,,,,,,
54,Chogha Golan,,AH VI,Ua-44324,grain,Hordeum spontaneum,8812,53,,NERD,CalPal,FALSE,,,,,,,,,,,
232,Chogha Mish,,"Sq.S22, 823",Beta-106167,charcoal,,8300,60,,NERD,Marshall 2012; CalPal; Flohr et al. 2016,FALSE,,,,,,,,,,,
232,Chogha Mish,,"Sq.S18, 902",Beta-106168,charcoal,,6610,50,,NERD,Marshall 2012; CalPal; Flohr et al. 2016,FALSE,,,,,,,,,,,
